media handling record: fileName,taxon,Taxon record: family,objectNumber,Taxon record: naturalHistoryCommonName,fieldLocCountry,briefDescription,fieldCollector,fieldCollectionNumber,fieldCollectionDateGroup,source,accessionDate,Voucher record: Wild,Voucher record: Horticultural,reference,referenceGroup_reference,Distribution record: depositor_Plant,Distribution record: depositor_Seed,notes,deadFlag,flowerColor,comment
DeadRecords_25795|DeadRecords_25796,Maba sandwicensis A.DC. var. pubescens Skotsb.,EBENACEAE,62.1144,,Hawaii,seed,Joseph Rock,,,"Coll., Honolulu",1962-01-01,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Kona, 3000 ft., dry areas."
DeadRecords_25797|DeadRecords_25798,Maba warneckei Gurke.,EBENACEAE,64.1362,,Ghana,seed,,,,Univ.of Ghana Index Seminum 1964,1964-11-20,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Accra plains, 5038'N 00°11'W.; 
 Horticultural Notes: 22-II-62, 1 plt.."
DeadRecords_25799,Macadamia integrifolia Maiden & Betche,PROTEACEAE,77.0142,smooth shell macadamia,(Australia),sd.,,,,"W.B. Storey, UCR, Dept. of Plant Sciences",1977-01-02,,,,,,,,True,,"Added from dead card, 2025: 
 Permanent: Econ.- Area- -857,856"
DeadRecords_25800|DeadRecords_25801,Macadamia ternifolia F. Muell.,Proteaceae,65.0409,,Austrsl,Sd.,,,,"Honolulu Bot. Gdns., Honolulu, Hawaii",1965-05-27,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Recvd. by Honolulu from Lyon Arb."
DeadRecords_25802|DeadRecords_25803,Macadamia ternifolia F. Muell.,Proteaceae,65.0792,,,sd.,,,,"Jardin de Aclimatacion, Puerto de la Cruz, Tenerife, Canary Isls., Spain    (Index Seminum 1964)",1965-06-15,,,,,,,"IX-67, no germ.",True,,"Added from dead card, 2025: 
 Locality: No data."
DeadRecords_25804|DeadRecords_25805,Macgregoria racemigera F. Muell.,Stackhousiaceae,65.0683,,W. Australia,sd.,,,,"King's Park Bot. Gdn., Perth, W. Australia, Index Seminum 1964",1965-06-08,,UC 1301230,,,,,"XI-65, n=10 (-S1), Dr. Cave (no dwg. Cave #65172.",True,,"Added from dead card, 2025: 
 Locality: UC sheet to main herbarium, VII-66.; 
 Pressed: 9-XII-65, 1 sheet, -sl, PCH. V I-66, 1 sheet (all pressed) by PCH. Both as 1 to UC; 
 Wild Herbarium Voucher: None; 
 Horticultural Herbarium Voucher: UC 1301230; 
 Preserved: Buds, 16-XI-65 to Cave.; 
 Chromosome: n=10(-S1), Dr. Cabe, XI-65"
DeadRecords_25806|DeadRecords_25807,Machaeranthera shastensis Gray,COMPOSITAE,72.0523,,"Alpine Co., Calif.",seed,Margaret Williams,,,"W. Roderick, UCBG staff",1972-10-01,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Alpine County: Woodfords, ca. 6000' elev. Growing in granitic sand with much humus in light shade of pines."
DeadRecords_25808|DeadRecords_25809,Macaeranthera tortifolia (Torr. Gray) Cronq. & Keck,COMPOSITAE,63.1062,,"U.S.A., Calif.",seed,H-M. & R.S. Beard,,,"From H-M. Beard, UCBG staff",1962-05-10,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 8 road mi. SE of Lucerne Valley on Hwy. 18, San Bernardino Co. 3950 ft. alt., coll. 10-V-62. Steep, stony slope. Isomeris, Creosote, Eriogonum inflatum, Princess Plume, Apricot Mallow,etc. Seed Sown 19-III-63."
DeadRecords_25810|DeadRecords_25811,(Gray) Cronq. & Keck Machaeranthera tortifolia (Torr's & Gray),Compositae,65.1425,,"U.S.A., Calif.",,H-M. & R.S. Beard,,,"H-M. Beard, UCBG staff.",,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Ca. 2 rd. mi. NW of Cushenberry Springs Permanente Cement plant, San Bernard- ino Co., 27-V-65. 3800 ft. alt. Steep slope, sandy soil with very coarse gravel. MAPPED BED 5B JUL 18 1967"
DeadRecords_25812|DeadRecords_25813,Machaerocarpus californicus (Torr.) Small,ALISMATACEAE,62.0151,,"U.S.A., Calif.",3 clumps,W. Roderick,,,"W. Roderick, UCBG staff, Berkeley",1962-05-06,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Stony Pt. road, near Petaluma, Sonoma Co. With Typha in a ditch full of water in winter. 7-V-62 - 3 clumps to E Creek Bed 19b.; 
 Permanent: 19b"
