Name,Has_Broader,Broader_Term
Aa,yes,ORCHIDACEAE
Abelmoschus,yes,MALVACEAE
Abelmoschus moschatus Medik.,yes,Abelmoschus
Abies firma,yes,Abies
Abies fraseri,yes,Abies
Abies lasiocarpa,yes,Abies
Abies magnifica var. magnifica,no,
Abies pinsapo,yes,Abies
Abies procera,yes,Abies
Abies semenovii,yes,Abies
Abies sibirica,yes,Abies
Abies vejarii,yes,Abies
Abutilon reflexum,yes,Abutilon
Acacia alata,yes,Acacia
Acacia aspera,yes,Acacia
Acacia ataxacantha,yes,Acacia
Acacia buxifolia,yes,Acacia
Acacia continua,yes,Acacia
Acacia cultriformis,yes,Acacia
Acacia cyclops,yes,Acacia
Acacia dawsonii,yes,Acacia
Acacia decora,yes,Acacia
Acacia drummondii,yes,Acacia
Acacia extensa,yes,Acacia
Acacia giraffae,yes,Acacia
Acacia graffiana,yes,Acacia
Acacia insolita,yes,Acacia
Acacia jibberdingensis,yes,Acacia
Acacia karroo,yes,Acacia
Acacia linearis,yes,Acacia
Acacia melanoxylon,yes,Acacia
Acacia nilotica,yes,Acacia
Acacia oxycedrus,yes,Acacia
Acacia pruinosa,yes,Acacia
Acacia pulchella,yes,Acacia
Acacia scirpifolia,yes,Acacia
Acacia sowdenii,yes,Acacia
Acacia subporosa,yes,Acacia
Acacia triptera,yes,Acacia
Acacia verticillata,yes,Acacia
Acaena hirsutula,yes,Acaena
Acampe,yes,ORCHIDACEAE
Acampe mombasensis,yes,Acampe
Acampe pachyglossa,yes,Acampe
Acanthocereus,yes,CACTACEAE
Acanthocereus brasiliensis,yes,Acanthocereus
Acanthocereus pentagonus,yes,Acanthocereus
Acanthocereus subinermis,yes,Acanthocereus
Acantholimon diapensioides,yes,Acantholimon
Acantholimon tataricum,yes,Acantholimon
Acanthopanax lasiogyne,yes,Acanthopanax
Acanthopanax sessiliflorus,yes,Acanthopanax
Acanthopanax spinosus,yes,Acanthopanax
Acanthophippium,yes,ORCHIDACEAE
Acanthophippium unguiculatum,yes,Acanthophippium
Acanthophippium yamamotoi,yes,Acanthophippium
Acanthosicyos,yes,CUCURBITACEAE
Acanthosicyos horridus,yes,Acanthosicyos
Acer giraldii,yes,Acer
Achillea millefolium var. rosea,no,
Achillea nana,yes,Achillea
Achillea taygetea,yes,Achillea
Achillea tournefortii,yes,Achillea
Achillea umbellata,yes,Achillea
Achyranthes splendens,yes,Achyranthes
Acianthus,yes,ORCHIDACEAE
Acianthus exsertus,yes,Acianthus
Acicarpha,yes,CALYCERACEAE
Acicarpha pinnatifida,yes,Acicarpha
Acineta densa,yes,Acineta
Acinos rotundifolius,yes,Acinos
Acmena,yes,MYRTACEAE
Acmena smithii,yes,Acmena
Acokanthera,yes,APOCYNACEAE
Acokanthera venenata,yes,Acokanthera
Acostaea,yes,ORCHIDACEAE
Acostaea costaricensis,yes,Acostaea
Acridocarpus,yes,MALPIGHIACEAE
Acridocarpus socotranus,yes,Acridocarpus
Acrocomia,yes,ARECACEAE
Acrocomia aculeata,yes,Acrocomia
Acronychia,yes,RUTACEAE
Acronychia oblongifolia,yes,Acronychia
Acrotriche,yes,ERICACEAE
Acrotriche depressa,yes,Acrotriche
