media handling record: fileName,taxon,Taxon record: family,objectNumber,Taxon record: naturalHistoryCommonName,fieldLocCountry,briefDescription,fieldCollector,fieldCollectionNumber,fieldCollectionDateGroup,source,accessionDate,Voucher record: Wild,Voucher record: Horticultural,reference,referenceGroup_reference,Distribution record: depositor_Plant,Distribution record: depositor_Seed,notes,deadFlag,flowerColor,comment
DeadRecords_04930|DeadRecords_04931,Series Ponticum Subseries Ponticum,ERICACEAE,59.0952,,,,,,,,,,,,,,,,True,,"Added from dead card, 2025: 
 Permanent: 67"
DeadRecords_04958,B,BORAGINACEAE,61.0103,,Calif.,5 plts.,W. Roderick,,,"W. Roderick, Berkeley",1996-01-21,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Highway 1, 2-1/2 miles S of Rockport, Mendocino Co. with Rhododendron macrophyllum (61. 086), NE facing road cut. Damp, shady area; Redwoods, Douglas firs with coastal shrub understory. Fair light but not direct, unless early morning sun in summer."
DeadRecords_04964,"(creeping, HapQloappus-like)",,61.0128,,"U.S.A., Calif.",8 divs.,W. Roderick,,,"W. Roderick, UCBG staff",1961-02-12,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 8 mi. S. of Castroville, Monterey. Base of sand dunes betw. beach and town. Intthe moister hollows of the dunes (betw. the humps).; 
 Permanent: 12"
DeadRecords_04976,Dodecatheon-like foliage,,61.0253,,"U.S.A., Calif.",2 clumps,W. [Roderick,,,"W. Roderick, UCBG staff",,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: E. side of Cedar Pass, Modoc col 3 May 1961"
DeadRecords_04994,(Subshrub),,61.1217,,"U.S.A., Calif.",3 cans,W. Roderick,,,"W. Roderick, UCBG staff",1961-06-01,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Marina, Monterey Co."
DeadRecords_05000|DeadRecords_05001,(Dormant orchid),ORCHIDACEAE,61.1229,,Calif.,5 plts.,"W. Roderick, H-M. & R.S. Beard",,,"W. Roderick, H-M. & R. S. Beard, Berkeley, Calif.",1961-06-10,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Ca. 3 road mi. NE of Oroville, Butte Co. (Hwy 40 A).; 
 Horticultural Notes: DEAD, OH, Inv. F , 69; 
 Permanent: 18"
DeadRecords_05002|DeadRecords_05003,Dwarf grass),GRAMINEAE,61.1294,,"U.S.A., Calif.",plts (2 cans),W. Roderick,,,"W. Roderick, UCBG staff.",1961-07-31,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Sierra Co., S. of Johnsville."
DeadRecords_05004|DeadRecords_05005,"(Composite, fleshy tap roots, but tops moulded)",,61.1251,,"U.S.A., Nevada",plts.,Taylor,4549a,,"Taylor, Berkeley, Calif.",1961-06-26,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 2 mi. E. of Buckskin Summit Pass, Humboldt Co., Nevada"
DeadRecords_05008,(small white flrd. p1t.),,61.1288,,"U.S.A., Calif.",plts.,W. Roderick,,,"W. Roderick, UCBG staff",1961-07-31,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Jamison Creek, 4.8 mi. S. of Johnsville, Plumas Co.; 
 Permanent: sink"
DeadRecords_05028,Compositae (reyless),COMPOSITAE,62.0954,,"U.S.A., Calif.",plts. (2 pots),"W. Roderick, A. Menzies",,,"W. Roderick, UCBG staff; A. Menzies, Strybing Arb., Golden Gate Pk.,    S.F.",1962-06-25,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Monitor Pass Road 6a. 1 mile E of pass, Mono Co. Elev. ca. 7500 ft. 23-VI-62. On a flat, sandy clay with rock and gravel with a gravel paving."
DeadRecords_05034,(Compositae Grey Leaf),COMPOSITAE,62.1317,,"U.S.A., Calif.",6 plts. (1 pot),"W. Roderick, A. Menzies, M. Williams",,,"W. Roderick, UCBG staff",1962-07-30,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: E face of Mt. Eddy, Shasta Co. 22-VII-62. 8250 ft. alt. Gravel and sand among big boulders but mostly in flat areas on a narrow ridge running E from the main part of the mountain."
DeadRecords_05110|DeadRecords_05111,(Subshrub),,63.1013,,"U.S.A., Calif.",2 cans,"W. Roderick, A. Menzies",,,"W. Roderick, UCBG staff; A. Menzies, [Strybing Arb., GGP, S.F.",1963-02-11,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: NE of Glen Ellen, Sonoma Co., on Trigity Grade Road, in the old quarry. Coll. 10-II-63. 25-V-72: Wayne Roderick finds a plt. dead labeled Hypericum concinnum, #63.1012; he thinks it is prob. this acc. (63.1013). SC; 
 Horticultural Notes: -"
DeadRecords_05112|DeadRecords_05113,Composite,COMPOSITAE,63.1035,,"U.S.A., Calif.",2 plts.,W. Roderick,,,"W. Roderick, UCBG staff",1963-02-25,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Hepsidam Peak, southern San Benito Co. 23-II-63. East side, ca. 4000 ft. alt. Serpentine area, on a saddle extending E from top of peak. Soil very sandy and gritty, with some rock. Much humus where plts. dug."
DeadRecords_05142|DeadRecords_05143,Fern,,64.0377,,Calif.,1 plt.,Robert Bird,,,collector,1964-05-01,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: El [Dorado Co., NW of Upper Echo Lake, 7800 ft., open talus slope of whitish rock. Sm. lbl -1, 8-VI-64."
DeadRecords_05204,(Mallow),SCROPHULARIACEAE,64.1014,,"U.S.A., Calif.",4 plts.,W. Roderick,,,"W. Roderick, UCBG staff, Berkeley",1964-01-09,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Arroyo Seco Creek Campground environs, ca. 12 mi. E of Temecula near Hwy. 71, Riverside Co., 3-I-64. Ca. 1600 ft. alt. At edge of chaparral. W slope. Grit, sand & much rock. Somehumus in top inch. 10-II-64 - to Bed 5a.; 
 Permanent: 5a"
DeadRecords_05206,(Cichoraea Tribe),COMPOSITAE,64.1029,,"U.S.A., Calif.",3 plts.,W. Roderick,,,"W. Roderick, UCBG staff",1964-01-09,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Encinitas, San Diego Co., 4-I-64. Ca. 100 ft. alt. Coastal bluffs. Old sand & humus or sand from decomposing sandstone cliffs, ca. 10 ft. back from the sheer dropoff. Some low Baccharis. Sun and wind."
DeadRecords_05298,(Encelia-like shrub),COMPOSITAE?,65.1001,,"U.S.A., Calif.",2 small plts.,"W. Roderick, Mrs. M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: SE corner of San Diego Co. 5.2.road mi. N, of most southerly crossing of US Hwy. 80 (San Diego-El Centro) at In-Ko-Pah Co. Park, 2-I-65. Ca. 1000 ft. elev. S. to SE facing slope. Cactus patch in rocks, some soil, decomposed granite. 11 Jan. 165: i plt. to Bed 5B/; 
 Permanent: 5B"
DeadRecords_05300,"(Shrub, mostly stems)",,65.1002,,"U.S.A., Calif.",4 plts.,"W. Roderick, Mrs. M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: SE corner of San Diego Co., 5.2road mi. N. of most southerly crossing of US Hwy 80 at In-Ko-Pah Co. Park, 2-I-65. Ca. 1000 ft. alt., S. to SE facing slope. Cactus patch in rocks, some soil, decomposed granite. 11 Jan. 65: 4 plts. to bed 5B.; 
 Permanent: 5B"
